               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12805,            0.082845,            0.037351,          0.00043667,            0.009233,          0.00024407,          4.5198e-05,            0.079507,             0.10631,            0.023534,              0.0919,              0.0009,              0.0009
                   1,             0.11364,            0.092021,            0.033094,            0.013935,              0.3489,            0.029441,           0.0058647,            0.068157,              0.1172,            0.021822,            0.082896,           0.0018962,           0.0018962
                   2,              0.1008,            0.087163,            0.030965,             0.09366,             0.25643,             0.10711,             0.02393,            0.061235,            0.093363,             0.02206,            0.073889,           0.0028885,           0.0028885
                   3,            0.094833,            0.072517,            0.030722,             0.11273,             0.35806,             0.10739,            0.029004,            0.064303,            0.089142,            0.022066,            0.064877,           0.0038768,           0.0038768
                   4,            0.087942,            0.064422,            0.027818,             0.46656,             0.36982,             0.16015,            0.050877,            0.057013,            0.087398,            0.019416,            0.055861,           0.0048612,           0.0048612
                   5,            0.090345,            0.059319,            0.027937,             0.52304,             0.34206,             0.16426,            0.033451,            0.057379,            0.072143,            0.018819,            0.046842,           0.0058416,           0.0058416
                   6,             0.09005,            0.059457,            0.026111,              0.1445,             0.31422,             0.13009,            0.032361,            0.069286,            0.073975,            0.018716,            0.037818,            0.006818,            0.006818
                   7,            0.098493,            0.055936,            0.027366,             0.51327,             0.32892,             0.16038,            0.031274,             0.07204,            0.063024,            0.018521,            0.028791,           0.0077905,           0.0077905
                   8,            0.093134,            0.050739,            0.026423,             0.40416,             0.21919,            0.078015,            0.016763,            0.062175,            0.074283,            0.018098,            0.019759,            0.008759,            0.008759
                   9,            0.092748,            0.057277,            0.027059,             0.44157,             0.45293,             0.11609,            0.043432,            0.056563,            0.066282,            0.017674,            0.010724,           0.0097236,           0.0097236
                  10,            0.086863,            0.058481,            0.025671,             0.50216,             0.22043,               0.154,            0.030311,            0.056276,            0.064929,            0.017587,            0.009802,            0.009802,            0.009802
                  11,             0.08569,            0.052571,            0.026481,             0.74329,             0.40105,             0.38469,             0.10873,            0.056791,            0.064353,            0.016672,            0.009802,            0.009802,            0.009802
                  12,             0.07821,             0.05746,            0.024393,             0.39932,             0.34521,            0.060402,            0.013747,            0.063131,            0.068299,            0.016006,           0.0097822,           0.0097822,           0.0097822
                  13,            0.078539,            0.057927,            0.023546,             0.56961,             0.52357,             0.27556,            0.076063,            0.056683,             0.07585,            0.014328,           0.0097624,           0.0097624,           0.0097624
                  14,            0.074805,            0.055152,            0.021242,              0.8389,             0.52445,             0.51083,             0.17071,            0.049704,            0.075576,            0.012456,           0.0097426,           0.0097426,           0.0097426
                  15,             0.07505,             0.05677,            0.021003,             0.75333,             0.50274,             0.44504,             0.13161,            0.050596,            0.076692,            0.010071,           0.0097228,           0.0097228,           0.0097228
                  16,            0.073856,            0.057412,            0.018155,             0.68365,             0.43871,             0.37188,            0.095852,            0.058227,             0.07998,           0.0088623,            0.009703,            0.009703,            0.009703
                  17,            0.069865,            0.058986,            0.014505,             0.77368,             0.56477,             0.53039,              0.2261,            0.047605,            0.075213,            0.007362,           0.0096832,           0.0096832,           0.0096832
                  18,            0.072029,            0.054101,            0.012916,             0.71529,             0.54446,             0.53463,             0.21553,            0.049416,            0.078123,           0.0070679,           0.0096634,           0.0096634,           0.0096634
                  19,            0.072424,            0.056628,            0.012783,              0.7012,             0.55619,             0.47162,              0.2159,            0.039562,            0.073543,           0.0065769,           0.0096436,           0.0096436,           0.0096436
                  20,            0.064656,            0.055172,            0.012223,             0.79933,             0.49247,             0.49714,              0.1555,            0.047168,            0.068471,           0.0063938,           0.0096238,           0.0096238,           0.0096238
                  21,            0.067454,            0.055786,            0.011037,              0.9473,             0.57804,             0.65945,             0.26122,            0.036935,            0.065892,           0.0059406,            0.009604,            0.009604,            0.009604
                  22,            0.061857,            0.056167,            0.010193,              0.8592,             0.57383,             0.60549,             0.23183,             0.04338,            0.072915,           0.0057095,           0.0095842,           0.0095842,           0.0095842
                  23,            0.064755,            0.056737,            0.016143,             0.86421,             0.55962,             0.63333,             0.20717,            0.045356,            0.072977,           0.0060093,           0.0095644,           0.0095644,           0.0095644
                  24,             0.06206,            0.055715,             0.01218,             0.92673,             0.58152,             0.64232,             0.25056,            0.041561,            0.071445,           0.0060299,           0.0095446,           0.0095446,           0.0095446
                  25,            0.066523,            0.056043,            0.010103,             0.93444,             0.60378,             0.67053,             0.32276,            0.031085,            0.066579,           0.0058216,           0.0095248,           0.0095248,           0.0095248
                  26,            0.061817,            0.055371,            0.010038,             0.89076,             0.56312,             0.60151,             0.25885,            0.038409,            0.068404,           0.0061638,            0.009505,            0.009505,            0.009505
                  27,            0.062135,            0.053659,           0.0093468,             0.87663,             0.57853,             0.60227,             0.27261,            0.040065,            0.070472,           0.0054611,           0.0094852,           0.0094852,           0.0094852
                  28,            0.064343,            0.053597,           0.0099647,             0.96191,             0.61081,             0.67211,             0.30465,            0.042243,            0.068305,           0.0053896,           0.0094654,           0.0094654,           0.0094654
                  29,            0.063135,            0.055229,            0.010597,              0.9285,             0.57998,             0.64422,             0.32859,             0.03643,            0.065933,           0.0049261,           0.0094456,           0.0094456,           0.0094456
                  30,            0.060832,            0.055464,           0.0079874,             0.86489,             0.59636,             0.62307,             0.30301,            0.034989,            0.064224,           0.0053341,           0.0094258,           0.0094258,           0.0094258
